Test Scenario,Total Requests,RPS,Avg Latency (ms),P95 Latency (ms),Max Latency (ms),Error Rate (%),Max VUs
Summaries Stress (Read),2231,54.82,2.35,5.20,54.36,0.00,100
Refresh Stress (Write),1131,22.89,1197.49,4376.94,15413.60,0.00,100
Mix Test (Combined),1234,27.37,850.36,4241.60,13782.72,0.00,100
Frontend Load (Web),2232,54.84,1.79,4.24,8.99,0.00,100
